Plate,VIN,Year,Make,Model,Category,UserDNI
4916FSJ,JT2MGF6E27V6B0Y2H,2007,Toyota,Yaris,urbano,36160841-B
8798HJC,VF7SUCKC8CSFV3JDY,2012,Citroën,Berlingo,monovolumen,75167816-K
9752LLJ,WDBUBUWL7L75MLANH,2020,Mercedes-Benz,Clase A,urbano,21204202-L
0775FXY,JT2ZJAR567NMUAJS2,2007,Toyota,Yaris,urbano,21204202-L
2123HHH,VF39SM6T2BB1E9HLX,2011,Peugeot,5008,monovolumen,22000076-R
2293JPK,WF0F4B6R5G44XDYY0,2016,Ford,Fiesta,urbano,22000076-R
8895DMJ,WVWN3XN875GKN02BR,2005,Volkswagen,Polo,urbano,72927284-B
5408MKD,WDBKCN3E9PK58C258,2023,Mercedes-Benz,Clase A,urbano,29150774-E
6741JMY,VF7DR2WD2GZYBKPKM,2016,Citroën,C5 Aircross,SUV,29150774-E
7040DRG,WVWV25MA7587FZJLC,2005,Volkswagen,Tiguan,SUV,16561185-N
8884JHJ,VF75XR2A3FYZBLZ4B,2015,Citroën,C4,berlina,90756185-W
8385GYM,VSSAZY4P6AH2HMGHG,2010,Seat,Toledo,sedán,76767011-A
1872JRZ,VSSD7C161GEFHXGL8,2016,Seat,León,berlina,73919806-Z
4782FBC,JT294GE9X600SJF8W,2006,Toyota,Corolla,berlina,16992689-J
1780KFW,WF029LTS6H6T40DUF,2017,Ford,Mustang,deportivo,16992689-J
4465HGM,VF14V49BXBXNUZK7L,2011,Renault,Scénic,monovolumen,79894669-Y
2363CKB,WDBGDWU893M40K7FX,2003,Mercedes-Benz,Clase C,berlina,22804369-F
1555JHJ,WF0LE0XH2FGBF7ZY1,2015,Ford,Kuga,SUV,22804369-F
1482KFC,WAU6X9CZ8HU6TL2PM,2017,Audi,Q5,SUV,22804369-F
2756FNZ,VF12GMPS87TJ09T2S,2007,Renault,Scénic,monovolumen,14345700-W
0840GHT,WDB7597M48FF9BAXA,2008,Mercedes-Benz,Clase A,urbano,14345700-W
8515GWV,WF0XMAVHXA0NZ73L8,2010,Ford,Fiesta,urbano,86032349-K
5195GSC,WDBELCTP59L774CU2,2009,Mercedes-Benz,GLA,SUV,81892998-A
3895HPN,JT2U89W91D9E8SFC2,2013,Toyota,RAV4,SUV,81892998-A
0531BRB,WDB53WDK11208P8Y9,2001,Mercedes-Benz,Clase A,urbano,79133728-C
8466DXZ,VF3RLE30562RVJ6FX,2006,Peugeot,208,urbano,80638162-R
6667HVN,VF1JFW6C4ECBB2Z2T,2014,Renault,Scénic,monovolumen,91099667-W
4767HGX,VF7L81EX7BC8MAHRS,2011,Citroën,C4,berlina,25276363-F
8155HJM,WF0DWNYR9CB9L51VR,2012,Ford,Focus,berlina,25276363-F
4772JJW,WAUR9P8D5FKVV8SZZ,2015,Audi,Q5,SUV,25276363-F
5305KBM,WVWZENHMXHJ9A4WBF,2017,Volkswagen,Golf,urbano,21182429-G
2580HTK,VF31EV5F3D5V376YW,2013,Peugeot,5008,monovolumen,21182429-G
4905MJB,JT2303DW1P2DNJ9XZ,2023,Toyota,RAV4,SUV,50553131-M
8073FJD,WF0RMBZ746GZ7G7GX,2006,Ford,Mustang,deportivo,97878280-D
3093LCY,WF0R33VN3KH4KKDLP,2019,Ford,Fiesta,urbano,69684477-C
5431LBN,WF0XNWRZ6KBCFHJW9,2019,Ford,Fiesta,urbano,32543196-J
8679KBM,VSS599CH8HSXCVFWH,2017,Seat,León,berlina,53654455-D
4265LHG,WBA6VLLP1L14MVLX0,2020,BMW,Serie 1,urbano,80786577-C
6965KMM,VF1CRDPZ0J3NHMA0G,2018,Renault,Captur,SUV,80786577-C
0195LMC,WF08S2K81LRRV9LUG,2020,Ford,Kuga,SUV,48829955-N
4392MKR,WDBTK04V8PB6BLBAG,2023,Mercedes-Benz,GLA,SUV,69650534-W
6117KFW,WVWKH5UH5H58LV8E6,2017,Volkswagen,Tiguan,SUV,20804949-T
0867HTK,WAUJX82K7DR1YW3RZ,2013,Audi,A3,berlina,71353232-X
2585MJB,WVWVLUWJ8P80BYKA3,2023,Volkswagen,Polo,urbano,87235088-K
3644DNP,WF0WSJ5615LPR22DB,2005,Ford,Kuga,SUV,87235088-K
2514LTD,VF131JDA6M73DBLNV,2021,Renault,Mégane,berlina,97120196-M
0297DRG,WAUE7JX1X5F8NX397,2005,Audi,A4,berlina,94254894-C
0471HKB,WAU299650C8ARNM91,2012,Audi,TT,deportivo,21224444-K
1980HYT,JT2BB54D9EJ6V6XX4,2014,Toyota,Corolla,berlina,76334752-Y
4351GSC,VF1VFSZE29Y11LFG4,2009,Renault,Scénic,monovolumen,76334752-Y
9509HRX,VF3D655F2DZ7WBZR8,2013,Peugeot,208,urbano,27633491-A
7942JGR,JT2VMPK71FMSAARPR,2015,Toyota,Yaris,urbano,12865421-A
6957HHT,VF3CK0GD1BJS0T7RH,2011,Peugeot,208,urbano,12865421-A
4704NGB,VF7S1AK37SLJPD4V4,2025,Citroën,C4,berlina,91914281-W
6589HFT,VF7946U36BLF44JMB,2011,Citroën,C4,berlina,88380778-N
2093HKX,VF3TD8FH6C6YBC9UE,2012,Peugeot,208,urbano,94198386-T
3808GXP,VF35KE8F1AFH5GAJ2,2010,Peugeot,208,urbano,38492434-W
4628HCB,WAU59RA54BWHA42BG,2011,Audi,TT,deportivo,78943239-V
9982MMN,JT2N4UXK2PUGTXKJ9,2023,Toyota,Yaris,urbano,62381112-Y
6621HGC,VF3ZS0RY4BCVL1W0T,2011,Peugeot,208,urbano,37564791-H
6860LYZ,JT2KMRSX8NC9JRT2B,2022,Toyota,Corolla,berlina,16032830-J
0965JKZ,VF307FSR9FYHB8HTM,2015,Peugeot,208,urbano,16032830-J
4672HHH,VF7F46LU7BR0J8J4G,2011,Citroën,C3,urbano,71776525-B
2350KMM,WF0U5S9TXJ8YFT14A,2018,Ford,Mustang,deportivo,71776525-B
6784GRM,VF1ETDWJ0971RP1A5,2009,Renault,Mégane,berlina,61369962-M
2593JJW,WVW8Y4RY6F32MWVL9,2015,Volkswagen,Tiguan,SUV,61369962-M
9073LWD,WDBEN9BN2N0ZTE36M,2022,Mercedes-Benz,Clase C,berlina,17950701-Y
5182JKK,WBAAF3HB8F6D79WL7,2015,BMW,Serie 1,urbano,12703388-M
6694KPD,WAU40MB8XJER9B7GL,2018,Audi,TT,deportivo,69626755-M
2467HTV,WDB26UBL6D5044G2R,2013,Mercedes-Benz,Clase A,urbano,93144696-D
5225DRG,WF02PA301538CNH07,2005,Ford,Kuga,SUV,30620555-B
9081JYB,VF16LDZ02H6JYEUBY,2017,Renault,Mégane,berlina,36027276-F
8764HPY,WVW0DPHE5DC7RCKCM,2013,Volkswagen,Golf,urbano,11447806-Q
6251LGG,WVWT7CB04LK9BJV41,2020,Volkswagen,Polo,urbano,38582789-J
8475LCY,WF0BF4YL4K73MCS1Z,2019,Ford,Mustang,deportivo,72325518-V
0342GLP,WBAFYPLU39RNTBY93,2009,BMW,X5,SUV,72325518-V
3419LKF,WAU0USMN9L173CEPE,2020,Audi,A3,berlina,98526990-G
0761GFC,WAUPGRP358DEGJGDZ,2008,Audi,A3,berlina,96752322-Q
8471HGM,VF130HYF3BZBLPJAT,2011,Renault,Scénic,monovolumen,50269902-K
6776HDR,VF1PBJWP6BV0KSJ4P,2011,Renault,Scénic,monovolumen,50269902-K
8357GWV,VF1MS9R10AV95MNMN,2010,Renault,Scénic,monovolumen,38494770-S
4133JZP,VF7HHXSR0HNB2B8N4,2017,Citroën,Berlingo,monovolumen,38494770-S
8857HCR,VF7PD6X53BF8NHG2T,2011,Citroën,C4,berlina,66492429-G
3067BNL,JT2FBW5161M03SHJS,2001,Toyota,RAV4,SUV,27204120-L
8011NDG,VF3THHAW3SSPH0LZF,2025,Peugeot,3008,SUV,39656231-E
4076HYD,WDB9BNH2XEJXFXBS8,2014,Mercedes-Benz,Clase C,berlina,71424533-B
0311FNB,WBAWDP2Y07JSH9RZF,2007,BMW,Serie 1,urbano,13002734-Y
9485JYB,VF7GHWKU0H90DGC0Z,2017,Citroën,C5 Aircross,SUV,62989028-D
4865FZR,VF7YBDA488J9BJNTM,2008,Citroën,Berlingo,monovolumen,62989028-D
4588GTC,WVWTE8VR5AB095DX1,2010,Volkswagen,Passat,berlina,51505064-Z
5846LCG,WF0U3K6S4KMA47H8F,2019,Ford,Focus,berlina,44431318-X
1092FKC,VF1V0C0L76JT7P8PD,2006,Renault,Captur,SUV,33289213-W
0849HHH,JT216BNZ9B608K5U1,2011,Toyota,Yaris,urbano,33289213-W
8325DLD,WVWYEMNF253GH5TPE,2005,Volkswagen,Tiguan,SUV,33289213-W
6617LDR,VSSHGP205K5LCCAKC,2019,Seat,Ibiza,urbano,15336671-H
4926JHJ,WBASEKAT9FYAYTTMP,2015,BMW,Serie 5,berlina,15336671-H
2201HDC,VF7V9TMTXBMBECJU7,2011,Citroën,C5 Aircross,SUV,63336416-M
5557MCR,VSSXTL1L6N6N0WJGN,2022,Seat,León,berlina,12235794-R
0541KDK,JT250LPR1HWDDM2DA,2017,Toyota,Corolla,berlina,67981022-Z
8884JJW,WDBSCHPP8FLTD009R,2015,Mercedes-Benz,GLA,SUV,32406567-G
1648MBN,VF7RK30U1NY3SJ6T5,2022,Citroën,C3,urbano,32406567-G
3579DWT,VF7K742H66JHJZSCK,2006,Citroën,Berlingo,monovolumen,74859698-B
0405DMJ,VF3RBXG6X5A7L9SA6,2005,Peugeot,3008,SUV,84670653-V
2562FHD,VF7N69LRX6J9XN5KL,2006,Citroën,Berlingo,monovolumen,84670653-V
8879LXS,VF1KLR1S6NBZ9E8CW,2022,Renault,Scénic,monovolumen,29965862-J
5469JYB,VF10R6TC6HJJUDHJH,2017,Renault,Scénic,monovolumen,55509086-N
9651HKB,WBAH2KKT8CHLCA525,2012,BMW,Serie 3,berlina,55509086-N
3348LKV,WF096ACJ9LPG9EY4K,2020,Ford,Focus,berlina,28706670-W
8745GHT,WBAZKXAA58VMTRKNN,2008,BMW,Serie 1,urbano,55877441-E
7280JTB,VF3CPV4V5GF6SJGAH,2016,Peugeot,208,urbano,55877441-E
5777GZT,WAUAZF0V5AK3PCP39,2010,Audi,A4,berlina,55877441-E
7473GWC,WF0W4PKB6ABWGPXFX,2010,Ford,Fiesta,urbano,72237299-A
7209KNK,WDBB428H5JBMJAGYR,2018,Mercedes-Benz,GLA,SUV,37362858-W
5564KGN,WAU7E4FN5HK3DW04Y,2017,Audi,TT,deportivo,51069687-G
0249FDP,WF0CSMNWX6ZFJLSBF,2006,Ford,Kuga,SUV,75100134-M
2968MLY,WVWETBAB0PTSGTLTE,2023,Volkswagen,Passat,berlina,75100134-M
6711FXY,WBAZZB3567AU96B3V,2007,BMW,Serie 5,berlina,60056155-G
0706GDH,WAU068EG682X88653,2008,Audi,A3,berlina,99307186-V
8600FKC,WF0A24WU162TCDK3H,2006,Ford,Kuga,SUV,37952709-H
9585MYW,VF3Y88XL2S8SBZ87V,2025,Peugeot,308,berlina,19395895-H
0880GRM,WDBDD29189E6BAF0Z,2009,Mercedes-Benz,Clase A,urbano,19395895-H
0866BZF,WBARJA9K42PW72AMT,2002,BMW,Serie 1,urbano,84526029-V
6173JCK,VSSPVZ7BXFHPU56A6,2015,Seat,León,berlina,18957172-C
9650LKF,WAU30DW32L7ZVVHP6,2020,Audi,A3,berlina,64926273-X
8486HVN,WBAR25XN9EDL7R1PH,2014,BMW,Serie 3,berlina,64926273-X
6715HHT,WVWBGX2X8BPY7AMDB,2011,Volkswagen,Passat,berlina,64926273-X
9837GTC,JT21PT0LXARPFWF4S,2010,Toyota,RAV4,SUV,43287076-H
2717CRC,WVWVNWWM23ZT57S1J,2003,Volkswagen,Tiguan,SUV,73807571-L
8238LYJ,JT242CAT5NEBWG91R,2022,Toyota,RAV4,SUV,98997452-R
8073KFW,WF0ZLCYZ5HN2WF7UM,2017,Ford,Mustang,deportivo,84106237-K
7692FWC,JT2SEBP137B68AKCB,2007,Toyota,RAV4,SUV,84106237-K
2766FCJ,VF7TEXFN46FTL2KW7,2006,Citroën,C5 Aircross,SUV,19569598-W
2032LLJ,VF7ZS8RK6LZX5ZZZG,2020,Citroën,C4,berlina,19569598-W
2711FFK,VF11F7ZY7612GT57G,2006,Renault,Captur,SUV,60772474-B
6919LXD,WAUV4R0Z6NH5WEMG5,2022,Audi,A3,berlina,74399921-G
9071CKB,WAUE0ZB11333G2GRZ,2003,Audi,A4,berlina,20517448-E
1374JSL,WDBTKYNF2GTEMT5H6,2016,Mercedes-Benz,GLA,SUV,63842562-J
1615CMM,WBAHUFUL23Z1RGGKP,2003,BMW,X5,SUV,74061622-N
2339LJR,VF37TXK08L7UGLWA1,2020,Peugeot,308,berlina,51408503-F
4265KHY,VF79R90J3J61L6PM0,2018,Citroën,C5 Aircross,SUV,13386433-L
2322JKZ,WAU0XSEB9FL01GXRE,2015,Audi,TT,deportivo,53127040-F
1192KNK,VSS89UZ22J0NAMHAS,2018,Seat,Ibiza,urbano,93588687-P
5574LJD,VF322JYSXLN4PLSDD,2020,Peugeot,5008,monovolumen,93588687-P
8295HKL,WVWCXKYX5CPNY9FCW,2012,Volkswagen,Tiguan,SUV,54731019-N
9085LWD,VSSZTP0E4NL6TR7C3,2022,Seat,León,berlina,54731019-N
6031GNF,VSS4630J99RRHB6UL,2009,Seat,Ibiza,urbano,53873880-Z
5271GXP,VF7GR0M20ATV5CNKA,2010,Citroën,C4,berlina,67981872-J
1986GWV,WF0SYSVPXAGWG7RFV,2010,Ford,Mustang,deportivo,67981872-J
5025LCG,VF1YXATY3K8R1FJ0Z,2019,Renault,Mégane,berlina,97477328-Q
6437FCJ,JT2AW9LD268KTXMC9,2006,Toyota,RAV4,SUV,97477328-Q
4763JHJ,WBAU8FMS1FY7VCT5V,2015,BMW,Serie 5,berlina,18743693-G
7097GHG,JT2U76LL3822R820N,2008,Toyota,Yaris,urbano,18743693-G
3266KBM,VF72A8UR1HYYKJKBV,2017,Citroën,C4,berlina,42913746-R
4657JLN,WAUNX2YT1GLD7DYWA,2016,Audi,A4,berlina,42913746-R
1817JMF,WF054EYNXGDBA5F4H,2016,Ford,Fiesta,urbano,46895419-Y
7789HHT,VF3R4YUPXBKKZYTY2,2011,Peugeot,3008,SUV,17540922-H
7501HLK,VSSXTKPX9CZ5AJUFB,2012,Seat,Ibiza,urbano,17540922-H
1882LKV,JT2PPVPW2L2GV9H4F,2020,Toyota,Corolla,berlina,17540922-H
2739MTK,VF35ST085RBV4BR1X,2024,Peugeot,3008,SUV,20784618-R
4323MDS,VF1J005G5P5V1N5PS,2023,Renault,Scénic,monovolumen,42074460-P
4643KHG,VSSXBZM59JL0J8AJJ,2018,Seat,Toledo,sedán,42074460-P
0239HZL,JT21535M4EW8EA599,2014,Toyota,Yaris,urbano,30360704-Z
5677JKK,VF7F56FP9FJDMJ6G2,2015,Citroën,Berlingo,monovolumen,97296091-L
7510HNT,WBAEHUBZ7D0LB1S4M,2013,BMW,Serie 3,berlina,71060844-K
8757MFG,JT22JP662P7DF2140,2023,Toyota,RAV4,SUV,71060844-K
1228HBG,WDBH8H6P3AK0MULZY,2010,Mercedes-Benz,Clase A,urbano,26088120-W
5887LTP,WAUDG8YV5MK0GKTTR,2021,Audi,TT,deportivo,26088120-W
9640GHT,WDBJE83K58CSNV84J,2008,Mercedes-Benz,Clase A,urbano,26088120-W
3837HTK,WVW6YC4W4DD0DRF82,2013,Volkswagen,Polo,urbano,32461023-L
3133HHH,VF1JM9N26BN8WV74U,2011,Renault,Clio,urbano,32461023-L
8790HMT,WVWV7F9E8CC55YLER,2012,Volkswagen,Tiguan,SUV,37895509-L
9574LSG,VSSPS1FR6M3ARD6P0,2021,Seat,León,berlina,37895509-L
1117GKH,WF017SZ038LZJ3C22,2008,Ford,Fiesta,urbano,42779936-M
2195KZK,VF3H09GB1KLZWLN1U,2019,Peugeot,308,berlina,95546299-K
0246KRZ,WVWYKJK31JL9MLJP0,2018,Volkswagen,Tiguan,SUV,87663475-X
4622GNF,JT2DTW0H498MX39SP,2009,Toyota,Yaris,urbano,87663475-X
4058MGN,WVW0YJX69PACW2L3S,2023,Volkswagen,Polo,urbano,31283484-B
3609MFG,WF0WYE1P6PKC31T1X,2023,Ford,Kuga,SUV,86836242-H
6018GMC,WVWPRFVZ399AP8MDS,2009,Volkswagen,Passat,berlina,86836242-H
1196HMD,WF0TPYAP1C7GCJP48,2012,Ford,Mustang,deportivo,37477367-V
5718HHT,WAUJXL8W8BUU0VU0H,2011,Audi,Q5,SUV,94110668-G
1489JVZ,WAUSHAJV6GHZ5016H,2016,Audi,A3,berlina,85923583-E
6459KCV,JT2AXCKM7HT94MNAP,2017,Toyota,Corolla,berlina,85923583-E
7711CMM,WAU1VLLF23R7GVD6E,2003,Audi,A4,berlina,18314413-L
5957DFZ,WBA0ZN2J35F2PWF47,2005,BMW,Serie 5,berlina,18314413-L
1232JYB,VSSJ9CDD2HVLYP4LW,2017,Seat,Toledo,sedán,17339495-W
1015LGH,WF05V45U7LUMT35CK,2020,Ford,Focus,berlina,57987182-L
3898HGM,VF153GXM3B730010N,2011,Renault,Captur,SUV,80292801-P
8358JHT,JT2PFSUV4F9NVSC1U,2015,Toyota,Yaris,urbano,80292801-P
2933MHG,VSSN44103PF4JNAM3,2023,Seat,León,berlina,70812968-Q
5434LXS,WAUM02MU4NLM58X4W,2022,Audi,Q5,SUV,70812968-Q
1446LWD,WVW5C9EF7NJJM99GL,2022,Volkswagen,Tiguan,SUV,18261115-N
2411BZF,VF33S1HX42769MHG6,2002,Peugeot,5008,monovolumen,18261115-N
5688FGF,WBAU8P0WX6U9G3XA4,2006,BMW,Serie 1,urbano,22079528-B
3485HCR,WF0909ZW2BRBZSPA6,2011,Ford,Focus,berlina,30469377-N
6582CDV,VF7J7BH52304LS3HG,2003,Citroën,C4,berlina,15606312-F
7744FGF,WVWKY9DZ06CLDNT7W,2006,Volkswagen,Golf,urbano,52455765-X
8421HBG,JT28PVEY6A2NZ3HMK,2010,Toyota,RAV4,SUV,99149702-Z
8588LHG,WDB99JXM3LBPC2N87,2020,Mercedes-Benz,GLA,SUV,31241678-L
9805GTS,WVWKM8G2XAWL7C3DG,2010,Volkswagen,Tiguan,SUV,70368650-N
7859GNF,VSSS5RAM19DP5MBSW,2009,Seat,León,berlina,24009875-Z
6573HHT,VF74ARN5XB1YE41T0,2011,Citroën,C3,urbano,46665076-P
7028NFC,WVWYRMRS6SFH1K5LL,2025,Volkswagen,Golf,urbano,33042331-W
1734MNC,WVW1HPELXR7XEP8YZ,2024,Volkswagen,Passat,berlina,43638895-Y
5072FVJ,WF0UXR2W77SX7YUZ2,2007,Ford,Fiesta,urbano,76897827-H
7440KZY,JT20XTSZ2KU2BK970,2019,Toyota,Yaris,urbano,76897827-H
5100KLN,WDBUX23A9J95WEBB7,2018,Mercedes-Benz,GLA,SUV,79909292-R
5748HBG,WF0XPMSM9A1RUUUEU,2010,Ford,Focus,berlina,79909292-R
0174GNF,WVWS1LZS49GU0N01W,2009,Volkswagen,Tiguan,SUV,93714437-V
2943HHT,WVWD2J5B9B9ZBMMLS,2011,Volkswagen,Golf,urbano,83948092-R
2668JWN,WVW3MR7E5HAG2W7FF,2017,Volkswagen,Polo,urbano,83948092-R
4951LML,VSSPZJ2F2M42GKUZU,2021,Seat,Toledo,sedán,73424842-X
3474JVZ,JT2ETDK89GB9519UY,2016,Toyota,Yaris,urbano,51563041-P
9824HZL,VSS9Z6L08ES68EDSG,2014,Seat,Ibiza,urbano,51563041-P
6556HSR,WAUTUMDV8DRG82Y0S,2013,Audi,A3,berlina,79597862-Z
8480LTD,WVW4AD004MRWA49MS,2021,Volkswagen,Polo,urbano,79597862-Z
9048GLC,WAUVPHZ4695D3WF68,2009,Audi,A3,berlina,75361501-T
4916LBN,WDBA18VU3KR63RU55,2019,Mercedes-Benz,GLA,SUV,75361501-T
9504MYF,VF3FNXZF0SSJ2B47U,2025,Peugeot,5008,monovolumen,79354083-N
1126DMJ,VSSCGCNK85UKCZS8X,2005,Seat,Toledo,sedán,79354083-N
7851MKD,VSSZWTML7PJ67JB1M,2023,Seat,León,berlina,31783974-K
0222KZY,WBAH1NK53K771J992,2019,BMW,Serie 5,berlina,43517483-B
1105KLN,WAUER5WLXJG326CBU,2018,Audi,A3,berlina,43517483-B
8838FVJ,VF34YB6187ULBABGZ,2007,Peugeot,5008,monovolumen,28919970-T
0883HCB,VSS89RN63BW6CNXWZ,2011,Seat,León,berlina,28919970-T
7731DRG,JT2UPJBWX59ZTYMG5,2005,Toyota,Corolla,berlina,28919970-T
1227NGB,VF1X5BS43SYLN3UWZ,2025,Renault,Clio,urbano,56755606-R
5777MJR,WF0SRBNK8PRXBYWCZ,2023,Ford,Fiesta,urbano,72671430-D
7538LPW,JT2X8VDS7MMKB2WLK,2021,Toyota,Yaris,urbano,72671430-D
7599HML,WAUH1NDXXCV996L6N,2012,Audi,Q5,SUV,72671430-D
5582MBN,WF07GL8P6NAN9DM3K,2022,Ford,Kuga,SUV,38694153-B
5836KHG,VF1NPFCX7JH80FCCC,2018,Renault,Mégane,berlina,50975903-Z
0116DSC,WVWE5U3X25D4SKN4D,2005,Volkswagen,Passat,berlina,58523693-D
5935GJJ,VF1U6ZW7388A0TRX9,2008,Renault,Scénic,monovolumen,91811813-E
9782HVZ,WAUME7Z24EG6UY93J,2014,Audi,Q5,SUV,19582672-N
3515JTB,VSSV1G381G0JTA83C,2016,Seat,Toledo,sedán,19582672-N
9054GHG,WVWZNWZW18ELYRG9V,2008,Volkswagen,Tiguan,SUV,50393247-V
9142KLN,JT2PZGNU9J92KV2V4,2018,Toyota,Corolla,berlina,50393247-V
2963LTD,VF78SFRF4MJEB9T2S,2021,Citroën,C3,urbano,50393247-V
4419BDR,VSS7NAHA2YAJYJKDP,2000,Seat,León,berlina,81291237-Z
8053JTB,VF7GZGAB2GWBCA9D2,2016,Citroën,Berlingo,monovolumen,81291237-Z
6635LFY,WAU20WW62LWUVLL26,2020,Audi,Q5,SUV,68273077-S
6114FHD,JT22JGFP16ESDA63V,2006,Toyota,Yaris,urbano,76875139-P
0440GLP,VF3X02VF59FGLTZE1,2009,Peugeot,308,berlina,76875139-P
7151JFX,VF1FJCRA0FC074KUB,2015,Renault,Scénic,monovolumen,42219687-J
8381GYX,VF3UUKN44ADRVDZ4M,2010,Peugeot,308,berlina,30039546-M
0528NDG,WVWWM53X6SKL27NUZ,2025,Volkswagen,Golf,urbano,46612610-M
5921JKZ,VF1FKTDE1FJS8ZLJM,2015,Renault,Scénic,monovolumen,46612610-M
3030HFT,WVWZ45617B3WMH8F5,2011,Volkswagen,Tiguan,SUV,61102561-W
0634HXN,WF075MGX5EU62M8WL,2014,Ford,Kuga,SUV,39639095-K
7609HTK,VSS0LPGY2DCGAKX2K,2013,Seat,Ateca,SUV,39639095-K
7437LXS,VSSX24CH7NTHE3YC7,2022,Seat,Ibiza,urbano,39639095-K
6684KPD,WAUK55VN7J0NELMS6,2018,Audi,A4,berlina,86560163-P
5681JZP,VF771AX89HNWAMXXW,2017,Citroën,C3,urbano,86560163-P
6821LNN,WAUBULN95MM816UL1,2021,Audi,TT,deportivo,44562738-P
7649MKD,WF0HCD1C5PLXF3HGR,2023,Ford,Focus,berlina,53444416-Y
8004BXP,VF3T8T0D22JNVH1BM,2002,Peugeot,3008,SUV,53444416-Y
9328GCK,WF0MFHLJ38RKG1WNE,2008,Ford,Kuga,SUV,53444416-Y
9359KCH,WAULMSBR4HHHGNJ8X,2017,Audi,Q5,SUV,98068885-J
9655JKK,VSSMP74G6FDWCRVRW,2015,Seat,Ateca,SUV,98068885-J
0021BJC,VF3UXUWJ51XLMWCW2,2001,Peugeot,3008,SUV,34882155-X
8556BCD,VSS2AE7C7Y9JNPNZF,2000,Seat,Ibiza,urbano,34882155-X
3502HKB,VSSJF82P2CK785TEG,2012,Seat,Ateca,SUV,94699264-F
0258MFG,VF30ZD4V6P4KUCEJA,2023,Peugeot,208,urbano,94699264-F
8989JJW,WAUP46VJXFYNPW9JX,2015,Audi,TT,deportivo,88402332-S
3069HSZ,VSS6XU7H1DDNKHXBK,2013,Seat,Ateca,SUV,88402332-S
6368BCY,VF7BWY9H4Y95UX8KJ,2000,Citroën,C3,urbano,88402332-S
1216NFC,VF11GM2S3SHUAS0LU,2025,Renault,Captur,SUV,28563313-G
9676KFW,WAU5MWMY5HFVCBT7Z,2017,Audi,A4,berlina,28563313-G
8961FVJ,VSS4DYSX578GNST0G,2007,Seat,León,berlina,45174528-K
6148GWC,WDBBZH4RXANJBCS3U,2010,Mercedes-Benz,Clase C,berlina,73159465-F
5059HTK,JT2AU70P2D43D1G4M,2013,Toyota,Corolla,berlina,73159465-F
3132FWC,JT21CFTW37VMS7KX1,2007,Toyota,RAV4,SUV,13515031-R
4125FHD,VSSUULUY467YRVRY7,2006,Seat,Ateca,SUV,13515031-R
7336HLW,VF1EWJUB5C6513GV8,2012,Renault,Captur,SUV,63354337-D
3978HYD,VF155L3WXEK2Z66DT,2014,Renault,Clio,urbano,43819500-S
5199HYT,WVW423WV1E6G3L60J,2014,Volkswagen,Polo,urbano,43819500-S
3613KWT,VF39CR9D6KUKJPW08,2019,Peugeot,5008,monovolumen,43819500-S
3766NFC,JT2RJ8030SU5LMTPS,2025,Toyota,RAV4,SUV,71341058-A
2613GYD,WBA4AP132A10NZ2RT,2010,BMW,Serie 3,berlina,71341058-A
6672HSZ,WVWWA3811DMUC8XCU,2013,Volkswagen,Golf,urbano,84163458-H
8894GKH,WF01389W783LAATWX,2008,Ford,Fiesta,urbano,13200615-H
7834LXS,JT2UZFLE4NK6HB1T1,2022,Toyota,Yaris,urbano,66571429-E
7303FNB,VF7GM4UP57CEV1VNS,2007,Citroën,C4,berlina,35389627-X
2630HKL,WF0870353CNSFUHK8,2012,Ford,Fiesta,urbano,35389627-X
1934HGM,VF3JKDFJ8BHGR5BGJ,2011,Peugeot,3008,SUV,35389627-X
9031HPN,WVW3MWW80DVB6M3C2,2013,Volkswagen,Passat,berlina,88642378-X
1872KHG,VF3KGPWY8JMGP74LX,2018,Peugeot,3008,SUV,18734693-C
3198BBJ,VF75BKPB5YXNEFH85,2000,Citroën,Berlingo,monovolumen,78002916-A
3412HYD,VF3YE2452EJKBJ3SG,2014,Peugeot,208,urbano,78002916-A
6324LPD,VSS964CH7MD0HGRV4,2021,Seat,Ateca,SUV,82822693-S
0174JTR,WVWB71851GHC1ZKNP,2016,Volkswagen,Tiguan,SUV,79834138-B
6623LPD,WF0G1M502MYTZ9UPG,2021,Ford,Focus,berlina,12790985-H
8561FBC,VF1MTLV496G38F1ZE,2006,Renault,Clio,urbano,12790985-H
6915JFX,VF73H6EC7F5EDWRAD,2015,Citroën,C3,urbano,91723782-N
2809LKF,VF1Y6N0R2LND8EG3K,2020,Renault,Captur,SUV,76316076-Y
4491JXF,VF7YB81H3HW3RWDTH,2017,Citroën,C5 Aircross,SUV,47201307-V
9064KVX,WDBUT1023KK1WF0Y1,2019,Mercedes-Benz,GLA,SUV,65067481-K
0928JWN,WDB9U3SD2HAKBM9YC,2017,Mercedes-Benz,Clase A,urbano,65067481-K
0022HZB,JT2HF0GL5EAPWEEFC,2014,Toyota,Yaris,urbano,36762118-E
3827HKX,WAUT04742CD4UWDMF,2012,Audi,A3,berlina,99386181-F
5965JGR,WBARY34A2FT8U570A,2015,BMW,Serie 3,berlina,99386181-F
1193HGC,WAU138U02B6KFPW6F,2011,Audi,Q5,SUV,64947409-D
7645HLK,JT2Y4GMA3C0YR1266,2012,Toyota,Corolla,berlina,46411247-F
3554GYD,VF7XJ8FP1AURE8U2C,2010,Citroën,C5 Aircross,SUV,86843391-Z
